src,hyp,tgt,label,target_word,mis_score
"The pungent pain , dyspnœa , cephalalgia , redness of the face , pulsations of the heart , strong and rapid , the pulse full and vibrating , induced m. peyrade , then attached to that hospital , to practise blood-letting in the arm . it was followed with marked relief . What is the meaning of cephalalgia ?",The pungent pain,A pain in the head ; headache .,Hallucination,cephalalgia,0.24829897284507751
Spanish and english tandem learners discuss the meaning of a given word in a semi-structured conversation . What is the meaning of tandem ?,any pair of two people who study a foreign language together.,"A method of language learning based on mutual exchange , where ideally each learner is a native speaker in the language the other person wants to learn .",Hallucination,tandem,0.30906927585601807
"The <define> underlinement </define> of the word acute is to emphasize the fact that all the data is based on acute effects and the long term or chronic effects , if any , are completely unknown .",Underlinement,Underlining.,Not Hallucination,,0.755136251449585
The questioners are not even-handed in dealing with the candidates . What is the meaning of even-handed ?,Having been dealted with.,Treating fairly .,Hallucination,even-handed,0.2583864629268646
Tourian 's poem exhibits a central strand of the catholic tradition which has been suppressed in armenian religious life but needs to be resurfaced . What is the meaning of resurface ?,To make resurface again,To make something reappear .,Not Hallucination,,0.8233612179756165
How else ( =in what other way ) can it be done ? What is the meaning of else ?,other way,"Otherwise , if not .",Hallucination,else,0.3512718677520752
"Combined with the scent of stale air inside the tent and the snores of another person nearby , the sensorial collage conjured memories of brighter days camping with his father the king ... even hunting trips with his younger brother before dolvek had become so insufferable . What is the meaning of sensorial ?",any sense of sensefulness,Of or pertaining to sensation or the senses ; sensory .,Hallucination,sensorial,0.4758770763874054
"Missiles exhausted , the pilot was forced to close and dogfight with his opponent . What is the meaning of dogfight ?",fight,To engage in a battle between fighter planes .,Hallucination,dogfight,0.49374085664749146
"Now the chintzy nameplate is all that distinguishes his work space from those of the photocopier repairperson , diet food company , and kitchen designer down the hall . What is the meaning of repairperson ?",A person who repairs something,Someone who repairs ; a repairman or repairwoman .,Not Hallucination,,0.8349478244781494
"If need be , i am ready to forego / and quit . What is the meaning of ready ?",ready for use,Prepared for immediate action or use .,Not Hallucination,,0.8186550140380859
"To me , he looked not just very tired , but almost as if he was bereaved : as sombre and <define> untriumphalist </define> as in 2008 , when he defeated Ken Livingstone .",A person who is untriumphalist.,Not triumphalist.,Not Hallucination,,0.877345860004425
"I have passed perhaps more time than any other man of my age and country in visits and assemblies , where the polite persons of both sexes distinguish themselves ; and could not without much grief observe how frequently both gentlemen and ladies are at a loss for questions , answers , replies , and <define> rejoinders </define> .",The person who replies on questions.,"A quick response that involves disagreement or is witty, especially an answer to a question.",Hallucination,rejoinders,0.26200324296951294
Calling your wife on company time is not a reimbursable expense . What is the meaning of reimbursable ?,able ; capable of being reimbured ; capable of being reimbured,Capable of being reimbursed .,Not Hallucination,,0.886681079864502
I ate a whole fish . What is the meaning of whole ?,Whole. A whole.,"Entire , undivided .",Not Hallucination,,0.7706727385520935
We were walking out of the clinic when Zoe nudged me with her shoulder . “ So you gon na get your <define> bow chica wow wow </define> on tonight or what ? ”,Chica wow wow,Alternative form of bow chicka wow wow,Hallucination,wow,0.151932030916214
He was named as an unindicted co-conspirator . What is the meaning of unindicted ?,Not indicted,Not having been indicted in a particular case,Not Hallucination,,0.877890944480896
"Aw , that 's a cute little birdie . is it a budgie ? What is the meaning of birdie ?",A small bird,A ( little ) bird ; a birdling ; a child 's term for a bird .,Not Hallucination,,0.7371243834495544
The federal budget lays out government spending for the upcoming budget year . What is the meaning of upcoming ?,One that is or is to come upcoming,Happening or appearing in the relatively near future .,Not Hallucination,,0.8916313648223877
Hardware description of a simplified AM2903 in VHDL and <define> pseudo English </define>,Pseudo English. Pseudo English. language that is not real English.,(rare) Alternative form of pseudo-English,Not Hallucination,,0.7503435015678406
The scientists placed the patient into cryonic suspension . What is the meaning of cryonic ?,"ic, Relating or relating to cryonic state",Of or pertaining to cryonics .,Not Hallucination,,0.7528097629547119
"Our readers — and contributors — are apt to elect a good deal according to years . the seventies and eighties , we may suppose , are concerned for the large educational and cultural interests of their alma mater ; the nineties are deep in the practical and business activities ; the noughties are not naughty , but still young enough to sport a fantastic costume at reunion and let the college wag as it will ; the oneties are the really wise as to what the college ought to be , especially on its athletic side , but as contributors modest . What is the meaning of noughties ?",The noughties,"The first decade of a century : from 1900 to 1909 , 2000 to 2009 , etc .",Hallucination,noughties,0.12038455903530121
"And I never did become squad captain — but I 've decided to do one final , <define> captainlike </define> thing . Tomorrow at lunch I 'll call a meeting of the Cheer Squad .",Like a captain.,Resembling or characteristic of a captain.,Not Hallucination,,0.8253526091575623
I must <define> take a turn </define> in the open air to recover myself .,turn around something,To walk around; to stroll.,Hallucination,turn,0.25057440996170044
Rockiness in feeling or health . What is the meaning of rockiness ?,ness,The state or quality of being rocky ( in various senses ) .,Hallucination,rockiness,0.15208548307418823
She knew some dutch and spoke a high-pitched stressless english . What is the meaning of high-pitched ?,Having a high pitch.,"Of a sound , having a high pitch .",Not Hallucination,,0.8163281679153442
"Thus , temporal inactive <define> geophiles </define> , such as the caterpillars of many butterfly species , only bury in the ground for nymphosis ; even so they constitute an important food source for other edaphic species .",any thing that buries in the ground.,An organism that lives or thrives in soil.,Hallucination,geophiles,0.47537294030189514
The picnic was invaded by ants . What is the meaning of invade ?,Invade something.,To infest or overrun .,Not Hallucination,,0.7050318717956543
"The train remained stationary for a few moments , before lurching forward along the track . What is the meaning of stationary ?",Remaining stationary.,Not moving .,Not Hallucination,,0.854180097579956
John seems to spend as much time travelling as he does in the office . What is the meaning of travel ?,any travel by way of transportation,"To be on a journey , often for pleasure or business and with luggage ; to go from one place to another .",Hallucination,travel,0.3926493525505066
"Blast after blast , fiery outbreak after fiery outbreak , like a flaming barrage from within , most of edison 's grounds soon became an inferno . as though on an incendiary rampage , the fires systematically devoured the contents of edison 's headquarters and facilities . What is the meaning of contents ?",The contents of something,That which is contained .,Not Hallucination,,0.7991211414337158
"Very low probability , but short of zero . De facto <define> atheist </define> . ‘ I can not know for certain but I think God is very improbable , and I live my life on the assumption that he is not there . ’",any who believes that there is no god,(broadly) A person who rejects belief that any deities exist (whether or not that person believes that deities do not exist).,Hallucination,atheist,0.4657019376754761
"One child stood as king of the hill , and tried to withstand the pushes and shoves of his challengers . What is the meaning of challenger ?",Alternative form of challengers,"One who challenges ; especially , one who plays against the current champion of a game or contest in hopes of winning and becoming the new champion .",Hallucination,challenger,0.18545082211494446
<define> Destroying </define> a rabid dog is required by law .,The act of destroying.,(transitive) To put down or euthanize.,Hallucination,Destroying,0.11355247348546982
"Yes , indeedy ! What is the meaning of indeedy ?",True ; that is true,indeed,Not Hallucination,,0.804828941822052
"Since writing the preface for my sketchbook , i have , of course , been involved in a number of more recent projects where i have sketched ideas for structural solutions . What is the meaning of sketchbook ?",Book containing sketches,A book of printed sketches .,Not Hallucination,,0.7249613404273987
"According to the <define> aniconists </define> , images idolize the world and blind the eyes from being able to look beyond the world and focus on the creator .",Aniconist A person who believes in iconism,A proponent of aniconism.,Not Hallucination,,0.832913875579834
a <define> birdproof </define> windshield,Proof against birds,Resistant to birds.,Not Hallucination,,0.8232259154319763
"Madoff did it for decades—2008 just popped him out into the open when he could n't keep it going any longer , as bear markets and recessions do for many scamster rats . What is the meaning of scamster ?",A scammer; one who scams.,One who scams .,Not Hallucination,,0.8467521071434021
"And she appeared before the <define> lieutenantess </define> and respectfully requested to know her wishes , taking care not to seem to recognize her , or else to humble herself before her as a personage of vastly greater consequence than the servant who used to take the marquis ’s little dogs out to walk .",A female lieutenant,(dated) A female lieutenant.,Not Hallucination,,0.7052438259124756
"If you spot a red-eye problem , however , give the red-eye correction filter a try : [ ... ] if the camera detects red-eye , it applies the removal filter and displays the results in the monitor . if the camera ca n't find any red-eye , it displays a message telling you so . What is the meaning of red-eye ?",Alternative form of red-eye,"Redness in the eye ( s ) of someone in a colour photograph , as an unwanted consequence of light from a flash reflecting off blood vessels in the retina .",Hallucination,red-eye,0.19206134974956512
She got up before dawn to observe the lunar eclipse . What is the meaning of observe ?,To watch or supervise.,"To notice or view , especially carefully or with attention to detail .",Hallucination,observe,0.3865561783313751
Nancy reagan is famous for the redness of her wardrobe . What is the meaning of redness ?,The state or quality of being red.,The state or quality or characteristic of being red .,Not Hallucination,,0.7417970895767212
"'ugggghhhhh ! ' she made a face at the packet . 'oink , oink ! ' cosmo laughed , waving a scratching near her face . What is the meaning of scratching ?",ching,A pork scratching .,Hallucination,scratching,0.19845950603485107
The older idea that <define> informationlessness </define> was to be equated with uniform distributions is vulnerable to the transformational paradoxes .,The state or condition of being informationless.,Absence of information.,Not Hallucination,,0.7756662368774414
"Asked by the committee chairman , Mr Batt O'Keeffe , why young people were going out at night "" to get absolutely <define> stocious </define> drunk "" , he suggested young people were influenced by what they saw around them , including the excesses of adults .",The state of excessive drinking.,"(Ireland, slang) very drunk, intoxicated",Hallucination,stocious,0.3267269730567932
The patient was kept under <define> close </define> observation .,very close.,"Accurate; careful; precise; also, attentive; undeviating; strict.",Hallucination,close,0.24553419649600983
"They were asked to rate the 36 activities for how purposeful they were . [ … ] Comparing the 10 most <define> telic </define> and the 10 most paratelic we found that the paratelic leisure activities were thought to involve less skill or challenge ; they were also judged to satisfy social needs more , and to be more enjoyable .",any activity that is purposeful and challenging.,Tending or directed towards a goal or specific end.,Hallucination,telic,0.4385635256767273
"He had a headache so bad that he wished he was dead , but it was the sort of migraine that promised him he would continue to suffer but not die . What is the meaning of migraine ?",Headache,"A severe , disabling headache , usually affecting only one side of the head , and often accompanied by nausea , vomiting , photophobia and visual disturbances .",Not Hallucination,,0.7259926199913025
The singer-songwriter madonna louise ciccone is known by the mononym madonna . What is the meaning of mononym ?,anyonymic name given to a person or thing that has more than one name.,"A single name by which a person , thing etc is known .",Hallucination,mononym,0.13864733278751373
A serpent nowed . What is the meaning of nowed ?,any.,Knotted ; tied in a knot .,Hallucination,nowed,0.11901453137397766
a <define> nonliquid </define> substance,Not liquid.,Not liquid (in various senses).,Not Hallucination,,0.8559269309043884
"It was at para also that we engaged gomez and manuel , two half-breeds from up the river , just come down with a cargo of redwood . What is the meaning of half-breed ?",any who is halfbreed,"A person of mixed racial parentage or ancestry , especially one of mixed white and American Indian parentage ( metis , métis , Metis , Métis ) .",Hallucination,half-breed,0.3166687488555908
"How will these rules be enforced ? [ ... ] Fines for <define> first - time </define> offenders who breach regulations have been increased from £ 60 to £ 100 ( reducing to £ 50 if the fixed penalty notice is paid within 14 days ) , [ ... ] .",The first time that something happens,Happening for the first time; doing something for the first time.,Not Hallucination,,0.8718941807746887
The resistance of bacteria to certain antibiotics . What is the meaning of resistance ?,The act of resistance,"The act of resisting , or the capacity to resist .",Not Hallucination,,0.7144730091094971
How sad today that with all our technology and <define> franticity </define> we move ahead yet are so backward .,The state of being frantic.,The quality of being frantic.,Not Hallucination,,0.7905459403991699
"On the door-threshold mina turned , and her eyes fastened on woona in concentrated malignity . What is the meaning of malignity ?",chness,"The quality of being malign or malignant ; badness , evilness , monstrosity , depravity , maliciousness .",Hallucination,malignity,0.14554569125175476
"The animation may have improved , but the essence , the heart , the <define> quintessentialness </define> of anime and manga , is gone . The creators are just pandering to their audience .",The essentiality of something.,(rare) The quality of being quintessential.,Not Hallucination,,0.74204421043396
This horror novel is a real <define> gorefest </define> : everybody gets decapitated .,any thing that is very bloody.,"(informal) An event, situation, film, novel, etc., that is characterised by a copious amount of gore.",Hallucination,gorefest,0.29685619473457336
"Vineyard owners , many of them in <define> midharvest </define> when the fire struck , have begun adding up the effects of heat and smoke , which can damage grape quality even if vines survive .",Harvest time of harvesting,A point in time during the harvest.,Not Hallucination,,0.7091256976127625
Look yonder to that <define> carnaged </define> plain .,Having been destroyed by time.,Bearing the marks of carnage or slaughter.,Hallucination,carnaged,0.4320239722728729
"Like one who <define> wraps </define> the drapery of his couch / About him , and lies down to pleasant dreams .",any thing that wraps around something.,"(transitive) To enclose or coil around an object or organism, as a form of grasping.",Hallucination,wraps,0.2845025360584259
"At the bottom of the staircase i stood and stared at the worn steps , and ayesha , turning , saw me . What is the meaning of bottom ?",To lie at the bottom of something.,The lowest part of anything .,Hallucination,bottom,0.30622002482414246
A leading tory brexiteer has insisted quitting the eu does not mean the numbers of people coming to britain will be slashed – and claimed vote leave never said it would . What is the meaning of Brexiteer ?,One who is a brexiter,"Someone who supports Brexit , the United Kingdom 's exit from the European Union .",Not Hallucination,,0.8437083959579468
"The unbelievers will say they are but words , but a slogan , but a <define> flamboyant </define> phrase .",any loud and boastful.,"Showy, bold or audacious in behaviour, appearance, etc.",Hallucination,flamboyant,0.42362865805625916
To improve one 's time ; to improve his means . What is the meaning of improve ?,To make better.,To use or employ to good purpose ; to turn to profitable account .,Hallucination,improve,0.39472049474716187
""" This crimefightin ' can be a <define> tricky racket </define> , "" said the demon .",any thing that is hard to deal with.,A type of business or endeavor that is not easy; a domain fraught with difficulty.,Hallucination,racket,0.4880657196044922
a <define> luxurious </define> hotel suite,ifully adjective,Very fine in quality and comfortable.,Hallucination,luxurious,0.19036047160625458
Regular skin cleansing may help to prevent acne . What is the meaning of cleansing ?,anything that cleanses.,"The process of removing dirt , toxins etc .",Hallucination,cleansing,0.32796359062194824
And with thy blood <define> abolish </define> so reproachful blot .,To end or end.,"(archaic) To put an end to or destroy, as a physical object; to wipe out. [First attested from around 1350 to 1470.]",Hallucination,abolish,0.2017596960067749
"Later , she 'd seen the snow on Saint Lawrence Island , the snow on the Olympics , the powder high in the Cascades , the Brooks Range , the Maine snow , the Rocky Mountain snow , the blowing around high plains snow , the deep snow at her home in Idaho , the hushed snow in the boreal forest of Northern Canada , the sea - driven snow at Prince Ruper and Ketchikan , Nome , Kotzebue , and Valdez , snow in the Arctic adhering to the now vanishing ice , the dry <define> skiff </define> of snow on the Alaskan tundra stitched by the silvery , needle - like oil pipeline .",anything that resembles snow.,"A (typically light) dusting of snow or ice (or dust, etc) (on ground, water, trees, etc).",Hallucination,skiff,0.21281374990940094
This hybrid automobile saves a lot of money from conserved gasoline . What is the meaning of conserved ?,Saved.,Of or relating to something to which conservation has been applied ; saved from being wasted,Not Hallucination,,0.7323337197303772
We used <define> videomanometry </define> as an objective measure and the Swedish version of Sydney Swallowing Questionnaire as patient ’s self - assessment at baseline and 1 and 6 months after treatment .,The study of videomanometry.,manometry recorded on a video system,Hallucination,videomanometry,0.20244120061397552
"Men , however , are likely to underreport their use of standard forms , and to claim that they speak more <define> nonstandardly </define> than they really do .",Alternative form of standardly,In a nonstandard manner.,Hallucination,nonstandardly,0.25026795268058777
<define> Smoking </define> can lead to lung cancer .,any act of smoking.,The burning and inhalation of tobacco.,Hallucination,Smoking,0.1956384778022766
a gentleman of <define> unimpeachable </define> integrity,Not able to be discredited.,Not able to be impeached or reproached.,Hallucination,unimpeachable,0.3451756536960602
"From cooked meals to transport for doctors ' visits to grocery runs , this group of <define> caremongers </define> is ready to go the extra mile for senior citizens stuck at home , expecting mothers , the physically challenged , people with medical conditions and even those who are financially precarious .",The people who take care of other people.,One involved in caremongering.,Hallucination,caremongers,0.48148560523986816
Subpixel rendering . What is the meaning of subpixel ?,The sub pixel of an image.,In divisions smaller than pixels .,Hallucination,subpixel,0.14661093056201935
The preposterous altruism too ! resist not evil . it is an insane immolation of self—as bad intrinsically as fakirs stabbing themselves or anchorites warping their spines in caves scarcely large enough for a fair-sized dog . What is the meaning of intrinsically ?,Alternative form of intrinsic,In an intrinsic manner ; internally ; essentially .,Hallucination,intrinsically,0.15501631796360016
"When a book goes out of print , rights revert from the publisher to the author . What is the meaning of revert ?",To revert back to the original state of something.,To return to the possession of .,Hallucination,revert,0.3063838481903076
The ceo of the company only rehashed a speech for the news conference . What is the meaning of rehash ?,Reshashed something.,To repeat with minor variation .,Hallucination,rehash,0.25184640288352966
A while ago i read your column concerning the effects of hot tea on styrofoam cups . What is the meaning of styrofoam ?,Alternative form of styrofoam cup,"Expanded polystyrene foam , such as is used in cups and packaging .",Hallucination,styrofoam,0.384583443403244
"But John Latham , a senior research associate at the National Center for Atmospheric Research , said that there was simply no money for geoengineering , possibly because there ’s a certain <define> counterintuitiveness </define> to shooting particles into the atmosphere .",The quality of being counterintuitive,The property of being counterintuitive.,Not Hallucination,,0.8797976970672607
If you do n't behave I 'll give you <define> lines </define>,line,"(education) A school punishment in which a student must repeatedly write out a line of text related to the offence (e.g. ""I must be quiet in class"") a specified number of times; the lines of text so written out.",Hallucination,lines,0.28176257014274597
"If you need someone to spill your guts out to , i 'm here . What is the meaning of guts ?",The guts of something.,One 's innermost feelings .,Hallucination,guts,0.4408145844936371
Postbiblical literature . What is the meaning of postbiblical ?,"any that follows, or is characteristic of postbiblical age.",After the publication of the Bible .,Hallucination,postbiblical,0.20523829758167267
"The synchronized swimmers did everything together , even breathing at the same time . What is the meaning of synchronized ?",synchronized swimmers,"Having attained synchronization , together , coordinated , combined .",Hallucination,synchronized,0.33783450722694397
""" Good ! "" he said . "" Now I just want to test these <define> clitorial </define> reflexes – often enough , that 's where trouble strikes first . ""","ical, clitorial. Clitorial reflexes. Muscular reflexes of the clitorial muscles.",Clitoral.,Not Hallucination,,0.741997241973877
Let 's see if we can predict and correct for the overshoot . What is the meaning of overshoot ?,Any excess of something.,The amount by which something goes too far .,Hallucination,overshoot,0.2892933785915375
"In hong kong english , /l/ may be vocalized at the end of a syllable . What is the meaning of vocalize ?",To make vocalize.,To turn a consonant into a vowel .,Hallucination,vocalize,0.1668257713317871
The <define> flamboyantness </define> of a professional writer does creep in now and then   [ … ] .,any thing that is flamboyant.,The quality of being flamboyant.,Hallucination,flamboyantness,0.40147292613983154
"all preachers , especially such as be of good temper , and have wisdom with conscience , ought to inculcate and beat upon a peace , silence , and <define> surseance </define>",any kind of quietness,(obsolete) peace; quiet,Hallucination,surseance,0.1650698035955429
Then he <define> improved the occasion </define> to give young Finland a lecture upon the impropriety of marrying for money .,To make better.,To point out a moral to be learned from some event that has just occurred.,Hallucination,occasion,0.11592642962932587
"Besides , how can you talk about church politics ? It would certainly be anti - Catholic and might easily become <define> un - American </define> .",Any thing that is not American.,"Contrary to the principles, institutions or interests of the United States; anti-American.",Hallucination,American,0.2524542212486267
