src,hyp,label,mis_score
We too must adopt a Section 301.,We also must adopt Section301.,Not Hallucination,0.9613080024719238
I'll find a way.,I'll find a way around it.,Not Hallucination,0.8459916710853577
"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.",There must be some way to curtail this kind of cross border capital movements.,Hallucination,0.44900789856910706
That is the case with the multimodal link between Portugal and Spain and the rest of Europe.,Linking Portugal and Spain with the rest of Europe is the case.,Not Hallucination,0.8457596898078918
I'm gonna hurl.,I'll hurl it out.,Not Hallucination,0.9296181201934814
It's only the wind.,"It's only the wind that blows in your face, pal.",Hallucination,0.394145131111145
"Moreover, I have to say that we understand the reaction of the people of the Cermis region and the response of the victims' relatives.",We understand the reaction of the people of the Cermis region.,Hallucination,0.5340917706489563
"We call on the Commission to withdraw it, but we also urge it to submit a new proposal based on the Amsterdam Treaty.",We urge the Commission to submit a new proposal based on the Treaty of Amsterdam.,Not Hallucination,0.9024876356124878
These are generally legal experts.,Generally legal experts are generally legal experts.,Not Hallucination,0.8868100047111511
Looking for somebody?,Looking for a job?,Hallucination,0.18666958808898926
"As far as we are concerned, freedom of religion is a fundamental human right and we should defend it wherever it comes under attack.",We should defend freedom of religion wherever it is under attack.,Not Hallucination,0.9469884037971497
We just have different ways of getting there.,We different ways get there.,Not Hallucination,0.9243119359016418
And what's he do?,What does he do?,Not Hallucination,0.847298264503479
Are you working?,"Are you working,",Not Hallucination,0.8783436417579651
Can anybody hear me?,Can you hear me?,Not Hallucination,0.8271288275718689
It is therefore necessary to ensure that end-of-life vehicles are managed in a lawful and responsible way.,End of life vehicles should be managed in a lawful and responsible way.,Not Hallucination,0.9597563147544861
Show 'em.,Show them. Show them.,Not Hallucination,0.9496970772743225
There must be no more cursory deregulation.,There must not be any further deregulation.,Not Hallucination,0.8978111743927002
Your resolution is a timely input in that regard that we value very much.,We value your resolution very much.,Not Hallucination,0.8713195323944092
I fully agree with your basic views on this.,"I agree with your basic views on this, but I have some reservations.",Hallucination,0.5079548358917236
There's so many.,There so many of them.,Not Hallucination,0.9431009888648987
"However, it is not Parliament that should be carrying out this task.",Parliament should carry out this task,Hallucination,0.15841144323349
I find this totally incomprehensible.,Totally incomprehensible.,Not Hallucination,0.955223798751831
I'm helping people.,I help people.,Not Hallucination,0.9628012180328369
All I ask is that we move quickly.,We need to move quickly.,Not Hallucination,0.9308871030807495
This intention was confirmed by the General Affairs Council of 22 February 1999.,"This intention was confirmed by the General Affairs Council on February, the twentieth day.",Hallucination,0.42019274830818176
"In that endeavour, the Council will also pay attention to Amnesty International's proposals.",Council will also take Amnesty International's proposals into account.,Not Hallucination,0.942269504070282
We're gonna have a baby.,We are going to have a baby.,Not Hallucination,0.9791476726531982
He's got a fever.,He has a fever.,Not Hallucination,0.9781919121742249
It is time we began to take our lead from the Organisation of African Unity.,We are now leading the Organization of African Unity.,Hallucination,0.19770890474319458
We'll see each other again.,Here we see each other again,Hallucination,0.43836721777915955
He killed 'em.,He killed them all.,Not Hallucination,0.9422985315322876
That is why I would emphasise once again that it is important for absolutely all of the alternatives to be on the table.,All alternatives should be on the table.,Not Hallucination,0.9197877645492554
When's he coming back?,When he'll be back again?,Not Hallucination,0.9123454689979553
"Hello, Rosa.","Hey, Rosa,",Not Hallucination,0.8692171573638916
"Thank you, Carol.","Carol, thank you, Carol.",Not Hallucination,0.8842036724090576
I would say that this is the central issue: how the European Union is to be properly financed.,Financing the European Union is a problem.,Not Hallucination,0.891792893409729
That is another reason why it is so important for us to conclude the Agenda in good time.,We must conclude the agenda in good time.,Not Hallucination,0.9011440277099609
It is right that we put something forward-looking on the table.,We put something forward.,Not Hallucination,0.8197495937347412
You have to do this.,You must do this.,Not Hallucination,0.9736644625663757
Prime Minister Ecevit spoke out against the death penalty.,Prime Minister Ecevit opposed the death sentence.,Not Hallucination,0.9696782231330872
How long have you been doing it?,How long have you been doing this? How long have you been doing this?,Not Hallucination,0.914333164691925
I beg you not to underestimate the implications this also has for the European Union!,European Union also has implications for this.,Not Hallucination,0.8251181244850159
"Hey, Carol.","Hey, Carol, I've been here for a couple of days.",Hallucination,0.2877441644668579
You have to be careful.,You must be very careful.,Not Hallucination,0.9522035121917725
We've got to find him.,We must find him.,Not Hallucination,0.9763409495353699
Are you gonna answer that?,Are you going to answer that question?,Not Hallucination,0.9247599244117737
It's no trick.,It's easy as pie.,Hallucination,0.6629728078842163
Now you're free.,Free now you are free.,Not Hallucination,0.9254174828529358
It's not a trick.,It isn't a trick.,Not Hallucination,0.9791759252548218
Life expectancy at birth was 32 years whereas now this has nearly doubled to 62 years.,Life expectancy at birth was up to age of three.,Hallucination,0.04433149844408035
"If there had been clear rules on liability, the chances of that happening would have been far smaller.","If clear rules were in place, chances that it would happen were smaller.",Not Hallucination,0.8448678851127625
"For that reason, we need to adopt certain procedures in connection with the installation of the new Commission.",We must implement certain procedures to install the new commission.,Not Hallucination,0.9591251015663147
Dinner's almost ready.,We almost ready to dinner.,Not Hallucination,0.945035994052887
I don't have a brother.,Brother I don't have a brother.,Not Hallucination,0.847722053527832
So I think we make too much of that issue.,We make too much of that issue.,Not Hallucination,0.9627314209938049
"The Committee on the Environment, Public Health and Consumer Protection has been a complete disaster on this.",The Environmental Protection Commission has been a complete disaster.,Hallucination,0.2661958336830139
"I have two comments to make, firstly on agriculture and secondly on the Structural Funds.","Two things I have to say. Firstly, about agriculture. Secondly, about Structural Funds.",Not Hallucination,0.9674533605575562
Here again I am happy to say that we wish to incorporate almost half of the amendments in our revised proposal.,We would like to incorporate most of the amendments in our revised proposal.,Not Hallucination,0.8687031865119934
"Yeah, I know, but.","Well, I know that, but I do know that.",Not Hallucination,0.8928758502006531
I wish to apologise to the President-in-Office as I will not be here to take his response.,President I won't be here to take his response.,Not Hallucination,0.9148520827293396
How's he look?,How he looks? How does he look?,Not Hallucination,0.92212975025177
"Guys, wait.","Guys, don't go.",Hallucination,0.5563498735427856
I'm not his girlfriend.,He's not my girlfriend.,Not Hallucination,0.8630704283714294
I will come back to this point in my explanation of vote.,I will be back.,Hallucination,0.36579805612564087
I'm gonna kill her.,I'll kill her.,Not Hallucination,0.9768787026405334
"Yeah, who is it?",Who is it?,Not Hallucination,0.8811472058296204
I think this belongs to you.,"This belongs to you,",Not Hallucination,0.8091646432876587
"Hey, Larry.","Hey, Larry,",Not Hallucination,0.8265116214752197
We're rich.,We are rich.,Not Hallucination,0.9760428667068481
There is a certain ambiguity in the language of the Council.,Council does not have clear language.,Not Hallucination,0.9044074416160583
How's that even possible?,How possible such thing could happen?,Not Hallucination,0.9184043407440186
I'll pay you.,"I'll pay you,",Not Hallucination,0.9457675218582153
It's a murder.,It's a murder case.,Not Hallucination,0.8245383501052856
It's unacceptable.,It is unacceptable.,Not Hallucination,0.9758864641189575
I made a promise.,I made a promise to my friends.,Hallucination,0.4083501398563385
We'll leave tomorrow.,We leave tomorrow.,Not Hallucination,0.9785979390144348
Sarah's dead.,Sarah's death.,Not Hallucination,0.9560055136680603
My department has so far received some 200 messages.,My department has received some messages.,Hallucination,0.6558817625045776
Does she know you're not a... a real boy?,"She knows you're not a real boy, but she doesn't know you're not a real one.",Hallucination,0.36511483788490295
It is now high time to make sure that the funding available really is used to improve reactor safety.,Funding available should be used to improve reactor safety.,Not Hallucination,0.9345511794090271
"Hello, Phil.","Hey, Phil,",Not Hallucination,0.8816739916801453
How did you guys meet?,How did you meet up?,Not Hallucination,0.839506983757019
The use of the identification system is voluntary.,"Voluntarily, the use of the identification system is voluntarily.",Not Hallucination,0.9211110472679138
This helps to support world trade.,World trade support by this helps.,Not Hallucination,0.970526933670044
I've got to show you something.,I must show you something.,Not Hallucination,0.9623017907142639
It's never too late.,It's never too late to start.,Hallucination,0.6454626321792603
It was said that they should not wear short skirts.,They don't have to wear short skirts.,Hallucination,0.3513524830341339
Why are you late?,"Why are you late, man?",Hallucination,0.6732489466667175
What's the matter with them?,What's happening with them?,Not Hallucination,0.8127727508544922
We're going to miss you.,"We miss you,",Not Hallucination,0.843860924243927
The figure of 0.46 % of GNP for the Structural Fund should be seen as a target but not a ceiling.,Figures represent up to half of the Structural Fund.,Hallucination,0.01817498356103897
"But if you insist that we take a vote on the matter, then of course it can be done.","If you insist that we take a vote on this issue, we can take a vote on this issue.",Not Hallucination,0.9628200531005859
A boy or a girl?,Boy or girl?,Not Hallucination,0.9308279156684875
"Mr Kellett-Bowman, when the Commission states the obvious, it sometimes provokes a reaction I cannot comprehend.","Mr. Bowman, when the Commission states the obvious, it sometimes provokes a reaction I cannot comprehend.",Hallucination,0.14018742740154266
I think this is remarkable.,This is a remarkable thing.,Not Hallucination,0.9336356520652771
This is not normal.,This isn't normal.,Not Hallucination,0.9774150252342224
We've found something.,We found something.,Not Hallucination,0.9720813632011414
You got to do this.,You must do this.,Not Hallucination,0.9625436067581177
He knows what he's doin '.,He knows what he's doing.,Not Hallucination,0.9474729299545288
"Firstly, it is time for bold thinking.","Firstly, time has come for bold thinking.",Not Hallucination,0.9644999504089355
"However, our commitment in the Balkans should go considerably further.","Considerably, our commitment to the Balkans should go further.",Not Hallucination,0.9672727584838867
Mr Gallagher has offered a ray of hope.,Mr Gallagher offers hope.,Not Hallucination,0.9369574189186096
The Council does not even follow its own rules.,Council does not follow its own rules.,Not Hallucination,0.9565852880477905
Bad habit.,Habitually I have a bad habit.,Not Hallucination,0.8371226191520691
We simply do not have the know-how or the people to prepare an inventory of this kind.,We don't have the knowhow to prepare an inventory of this kind.,Not Hallucination,0.8753358721733093
See you all next week.,You see me next week.,Hallucination,0.5943920016288757
I need evidence.,Need some evidence.,Not Hallucination,0.9333301186561584
"However, the responsibility for this lies with the warring parties.",Warring parties are responsible for this.,Not Hallucination,0.9686766266822815
If I had known I was going to spend so long with them I would have checked with more care who they were going to be.,"If you're going to be there for a long time, you should check who they are.",Hallucination,0.5155056118965149
I truly believe that he is a great parliamentarian and a fine lawyer.,He is a great parliamentarian and a fine lawyer.,Not Hallucination,0.9667999744415283
I cannot emphasise enough the seriousness of this situation.,I can emphasize how serious this situation is.,Hallucination,0.4134470820426941
"The Commission supported us by adopting, in full or in part, 34 of the 54 amendments tabled at first reading.","The Commission supported us by adopting, in full or in part, most of the amendments tabled at first reading.",Hallucination,0.6199482083320618
She's praying.,She's praying. She's praying in her heart. She's praying in her heart.,Not Hallucination,0.9171903133392334
I have just received a quite alarming telegram informing me that one thousand arrests have been made since then.,I have just been made out to be.,Hallucination,0.014263707213103771
A pirate electronic version is available but not in French.,"There is an electronic version available, but not in French.",Hallucination,0.6321510672569275
"Hello, Michael.","Hey, Michael,",Not Hallucination,0.8895943760871887
Have you heard of him?,You ever heard of him before?,Not Hallucination,0.8109035491943359
How's the wife?,How's wife?,Not Hallucination,0.918651282787323
I very much hope that we can adopt this report tomorrow.,We hope that we can adopt this report tomorrow.,Not Hallucination,0.9272423982620239
"Mr McMahon, the Secretary-General is taking the necessary steps to resolve the matter as quickly as possible.",Mr Secretary General is taking necessary steps to resolve the matter as quickly as possible.,Not Hallucination,0.8053418397903442
"For the current year 1999, for example, EUR 216 billion is budgeted for regional policy.","For this year, for example, we have budgeted up to EUR216 billion.",Hallucination,0.24013939499855042
"In 1918, France said that Germany would pay.",Germany said that France would pay.,Hallucination,0.12027330696582794
This means the wine from Europe's regions that we know and appreciate will be preserved.,This is wine from the regions we know and appreciate.,Hallucination,0.538911759853363
I'm with a patient.,Patient I'm with a patient.,Not Hallucination,0.9335719347000122
The difficulty comes when we have to decide in detail on the form that such information should take.,It's easy to decide what form this information should take.,Hallucination,0.12319613248109818
But we were so close.,We were so close.,Not Hallucination,0.9701270461082458
I won't bite.,I don't bite you.,Not Hallucination,0.9335789084434509
When's the last time you saw him?,When did you see him in the last time?,Not Hallucination,0.8459333181381226
I never killed anybody.,Never I didn't kill anyone.,Not Hallucination,0.9448233246803284
I know that man.,Man I know that man is known.,Not Hallucination,0.8395494818687439
I think something needs to change there.,Something needs to change there.,Not Hallucination,0.9342113733291626
"It's Big Jim, to.",That's Big Jim.,Not Hallucination,0.8347363471984863
My pocketbook.,My pockets are full of books.,Hallucination,0.14315243065357208
So when do we leave?,So how long do we have to go before we leave?,Hallucination,0.17328423261642456
Let's get to bed.,Let's get to bed now.,Not Hallucination,0.9553396105766296
10 minutes?,"Ten minutes, and we're there.",Hallucination,0.16676205396652222
"Sixth, we want to strengthen the role of producer organisations and inter-branch organisations.",Strengthen the role of producer organisations and interbranch organisations.,Not Hallucination,0.8203498721122742
One could readily anticipate that will be undertaken - it is a relatively simple check.,It takes some time to get used to this.,Hallucination,0.06048091500997543
"Madam President, I have decided.","Madam President, I have decided to retire.",Hallucination,0.2776331901550293
I am the cops.,Cop I'm the cop.,Not Hallucination,0.8952965140342712
"Hello, Karen.","Hey, Karen,",Not Hallucination,0.8747758865356445
Where's Stefan?,Where Stefan?,Not Hallucination,0.9001785516738892
This report contains a number of excellent points.,Report contains several excellent points of view.,Not Hallucination,0.914697527885437
I've seen everything.,I have seen it all.,Not Hallucination,0.9738432765007019
On the couch?,You're on the couch.,Hallucination,0.3589418828487396
I'm going to call her.,I'll call her.,Not Hallucination,0.9706559777259827
This range is also reflected in the working conditions and social protection enjoyed by workers.,Social protection and working conditions are also reflected in this range.,Not Hallucination,0.8796886205673218
What's your emergency?,"What's your emergency, pal?",Hallucination,0.5547395348548889
He's gonna kill us.,He'll kill us.,Not Hallucination,0.9747838973999023
It's not water.,It isn't water.,Not Hallucination,0.9703354239463806
But we should not be overly optimistic.,We should not be overly optimistic.,Not Hallucination,0.9739707112312317
"France, Germany, Belgium and Austria are not countries so poor or with soil so poor that no other crops can grow there.",There are no other crops that can grow in these countries.,Hallucination,0.18666742742061615
There is an ever-increasing role for the EU here.,There is an ever increasing role for the EU here.,Not Hallucination,0.9757125973701477
I hope these and other arguments will prompt all the Member States to make more and even greater concerted efforts.,I hope these and other arguments will prompt all the members of Congress to make more and even greater efforts.,Hallucination,0.22711382806301117
"Hey, Sydney.","Hey, Sydney,",Not Hallucination,0.8555341362953186
I'm not gonna die.,I don't die.,Not Hallucination,0.933192789554596
"Most of the proposals overall relate to gas, to gas interconnections and underground storage facilities.",Gas interconnections and underground storage facilities are most of the proposals related to.,Not Hallucination,0.9543819427490234
"Mr President, the Amsterdam Treaty sets new standards for health policy in Europe.",Health care in Europe will be set by the Amsterdam Treaty.,Not Hallucination,0.8676182627677917
"I know it is sacrilege to invite DG III and DG XII to the same table, but I do not think it is such a bad idea.",It's a bad idea to invite DG III and DG XII to one table.,Hallucination,0.21594542264938354
"Once again, I regret the fact that many Members did not think things through rationally enough.",Many Members didn't think things through rationally enough.,Not Hallucination,0.8041805028915405
Let us accept this proposal as it stands!,"Accept this, and we'll be in business.",Hallucination,0.30913200974464417
What'd you give her?,"What do you give to her, man?",Hallucination,0.5841781497001648
God forgive me.,"God, forgive me.",Not Hallucination,0.9692931771278381
I do not know whether we are taking the right approach to changing this situation.,We are taking the wrong approach to changing this situation,Hallucination,0.5052570700645447
Thank you for your hospitality.,You are welcome to stay.,Hallucination,0.5069636702537537
And if we do not?,"And if we don't, we don't have to do anything else.",Hallucination,0.17618829011917114
The Commission has provided us with information on this.,Commission provided us with information on this issue.,Not Hallucination,0.9420827031135559
But it would be dangerous to manage them sparingly.,It would be dangerous to manage them sparingly.,Not Hallucination,0.9742557406425476
"But it is, of course, essential to take account of the general political context too, even in the case of a technical agreement.",Even in case of a technical agreement it is important to take into account the general political context too.,Not Hallucination,0.9738404154777527
I would also like to congratulate the staff who are running the Daphne Programme.,Congratulations to the staff running the Daphne Programme.,Not Hallucination,0.9339085817337036
It's my life.,That's my life.,Not Hallucination,0.9645100235939026
The foreign policy aspects of joining KEDO are therefore significant.,Foreign policy aspects of joining KEDO are significant.,Not Hallucination,0.9121547937393188
I have to make a phone call.,I must make a call.,Not Hallucination,0.9751694798469543
"Under Rule 101, the Council may be present in the Chamber.",Council may be present in the Chamber.,Not Hallucination,0.8314990997314453
It is the local fishermen one needs to look after.,Local fishermen need to look after them.,Not Hallucination,0.8888306021690369
"That was, of course, a Danish study.",That was a Danish study.,Not Hallucination,0.9304304122924805
"However, we have moved very little towards them.",We have not made much progress in this area.,Not Hallucination,0.8884317278862
A child?,"A child, a little one.",Hallucination,0.4769784212112427
Are you in love?,"Are you in love with me, or what?",Hallucination,0.6392410397529602
I didn't kill anybody.,I didn't kill anyone.,Not Hallucination,0.9749866724014282
We were getting married.,We were going to get married.,Not Hallucination,0.9724780321121216
I'm not smoking.,I don't smoke.,Not Hallucination,0.9640562534332275
A table for two?,There is a table for two.,Hallucination,0.2835584878921509
Most Member States have changed their laws so as to make violence against women a criminal act.,Violence against women is now a crime in most states.,Not Hallucination,0.8984991312026978
The imbalances and discrimination which could result from this are clear.,"Clearly, discrimination could result from this imbalances.",Not Hallucination,0.9449226260185242
Why's she here?,Why she here?,Not Hallucination,0.8960272669792175
The Council and the Commission must insist on that.,Council and Commission must insist on that. Commission and Council must insist on that.,Not Hallucination,0.9292994737625122
"Nevertheless, we need to look to the future.",We must look to the future. We must look to the future.,Not Hallucination,0.9718867540359497
"Hello, Jordan.","Hey, Jordan, how's it going?",Hallucination,0.6432849168777466
What'd you take?,"What do you take, man?",Hallucination,0.5128735303878784
Did you have a nice time?,Did you have a good time?,Not Hallucination,0.9636477828025818
That is because of its amphibious nature.,Amphibious nature is the reason why it is amphibious.,Not Hallucination,0.9372170567512512
You were right there.,Right you were right.,Not Hallucination,0.8060426712036133
You're useless.,You are useless.,Not Hallucination,0.9743778705596924
It's my dream.,It's my dream to own a yacht.,Hallucination,0.27366751432418823
That's not an excuse.,That's not an excuse for that.,Not Hallucination,0.9271467924118042
There has to be a way.,There must be a way out.,Not Hallucination,0.8512288331985474
What'd he look like?,What would he look like?,Hallucination,0.6520547866821289
"Well, you have my number.","Well, now you have my number.",Not Hallucination,0.9244498610496521
Recognize him?,"Recognize him, man.",Hallucination,0.5539503693580627
"He's an In-Valid, sir.","He's valid, sir.",Hallucination,0.5490840673446655
Because the railways have had plenty of time since Directive 44/91.,Directive since railways have had enough time since that time. Directive since railways have had enough time since that time.,Not Hallucination,0.8509975671768188
He's not stupid.,He's not a cop.,Hallucination,0.14675945043563843
Mr Lefroy.,Mr.,Hallucination,0.13906782865524292
"Look, you clearly have me confused with someone else.","You're wrong, man.",Hallucination,0.307481974363327
It may be in poor taste to say this but it is the truth.,"It may be in bad taste to say that, but it is the truth.",Not Hallucination,0.973423421382904
I'm Nejat Aksu.,"I'm Neat, man.",Hallucination,0.17286130785942078
Kill all of them.,Kill them all.,Not Hallucination,0.9670990109443665
We're wasting time.,We were wasting time in vain.,Not Hallucination,0.8443079590797424
Just wait in the car.,Just sit in the car.,Hallucination,0.45337992906570435
"Hey, Nancy.","Hey, Nancy, I've been here for a couple of days.",Hallucination,0.3042193055152893
Force of habit.,"Force of habit, I have been here for a long time.",Hallucination,0.4066452980041504
The Union should be far bolder in its policy.,Union should be more bold in its policy.,Not Hallucination,0.9466382265090942
